ID_CLIENTE,DIAS_VENCIMIENTO,DIAS_PAGO_REAL,MONTO_CUOTA_MXN,MONTO_PAGADO_MXN
100013,-120,-119,954.7,954.7
100013,-150,-154,861.48,861.48
100013,-180,-180,1742.83,1742.83
100013,-210,-212,613.55,613.55
100013,-240,-241,2716.7,1358.35
100013,-270,-272,2265.08,2265.08
100013,-300,-299,2071.67,2071.67
100013,-330,-334,711.78,355.89
100013,-360,-365,999.69,999.69
100014,-30,-21,2970.51,2970.51
100014,-60,-64,2408.28,2408.28
100014,-90,-92,667.53,667.53
100014,-120,-121,2035.87,2035.87
100014,-150,-149,1961.2,1961.2
100014,-180,-181,2391.83,2391.83
100014,-210,-203,1037.83,1037.83
100014,-240,-229,1744.27,1744.27
100014,-270,-256,2028.48,2028.48
100014,-300,-305,1359.49,679.75
100014,-330,-332,1357.98,1357.98
100014,-360,-363,2848.58,2848.58
100014,-390,-378,1196.2,1196.2
100014,-420,-407,512.7,512.7
100014,-450,-451,1765.79,1765.79
100014,-480,-476,2454.13,2454.13
100014,-510,-511,2616.79,2616.79
100014,-540,-545,2329.54,2329.54
100014,-570,-572,1762.03,1762.03
100015,-30,-31,883.81,883.81
100015,-60,-63,2096.02,2096.02
100015,-90,-95,1171.96,1171.96
100015,-120,-116,2614.94,2614.94
100015,-150,-150,2787.02,2787.02
100015,-180,-166,2871.77,2871.77
100015,-210,-209,1723.62,1723.62
100015,-240,-239,1240.03,1240.03
100015,-270,-256,2985.32,1492.66
100015,-300,-305,2111.94,2111.94
100015,-330,-319,1637.82,1637.82
100015,-360,-362,1519.02,1519.02
100015,-390,-378,1540.82,1540.82
100016,-30,-34,2524.97,2524.97
100016,-60,-59,1509.56,1509.56
100016,-90,-95,2476.19,1238.1
100016,-120,-125,2201.9,2201.9
100016,-150,-153,1900.05,1900.05
100016,-180,-182,1137.52,1137.52
100016,-210,-209,534.37,534.37
100016,-240,-245,1958.9,1958.9
100016,-270,-272,2719.72,1359.86
100016,-300,-301,1785.62,1785.62
100017,-30,-24,1223.58,1223.58
100017,-60,-56,1481.62,1481.62
100017,-90,-84,2810.99,2810.99
100017,-120,-120,2161.86,1080.93
100017,-150,-153,939.57,939.57
100017,-180,-177,2060.2,2060.2
100017,-210,-209,2782.0,2782.0
100017,-240,-242,723.58,723.58
100017,-270,-257,879.3,879.3
100017,-300,-290,2716.51,2716.51
100017,-330,-322,2231.27,2231.27
100017,-360,-363,2878.63,2878.63
100017,-390,-386,1421.93,1421.93
100017,-420,-420,2117.69,2117.69
100017,-450,-452,1258.2,1258.2
100017,-480,-476,1795.41,897.71
100017,-510,-515,2912.45,2912.45
100017,-540,-536,1190.62,1190.62
100017,-570,-568,2960.38,2960.38
100017,-600,-602,1175.49,1175.49
100018,-30,-30,993.76,993.76
100018,-60,-64,591.02,591.02
100018,-90,-92,2757.76,2757.76
100018,-120,-120,787.17,787.17
100018,-150,-149,1110.12,1110.12
100018,-180,-181,1510.58,1510.58
100018,-210,-209,2472.5,2472.5
100018,-240,-241,1989.09,1989.09
100018,-270,-273,2684.16,2684.16
100018,-300,-299,2506.49,2506.49
100018,-330,-330,1622.76,1622.76
100018,-360,-365,1744.41,1744.41
100018,-390,-395,2665.94,2665.94
100018,-420,-421,1016.63,1016.63
100018,-450,-454,2826.84,2826.84
100018,-480,-485,1030.51,1030.51
100019,-30,-31,1247.52,1247.52
100019,-60,-63,906.69,906.69
100019,-90,-95,1673.4,1673.4
100019,-120,-123,1639.14,1639.14
100019,-150,-155,2028.28,2028.28
100019,-180,-180,1845.32,922.66
100019,-210,-211,1142.47,1142.47
100020,-30,-35,2526.33,2526.33
100020,-60,-47,2695.94,2695.94
100020,-90,-84,1213.58,1213.58
100020,-120,-119,2959.81,2959.81
100020,-150,-138,577.93,288.97
100020,-180,-182,1413.0,1413.0
100020,-210,-214,2318.94,2318.94
100020,-240,-226,1212.54,1212.54
100020,-270,-260,1057.58,1057.58
100020,-300,-291,1316.57,1316.57
100020,-330,-330,1909.26,954.63
100020,-360,-354,1553.06,1553.06
100020,-390,-389,2597.22,2597.22
100020,-420,-422,2360.16,1180.08
100020,-450,-445,2286.44,2286.44
100020,-480,-473,2564.55,2564.55
100020,-510,-503,1001.15,1001.15
100020,-540,-531,2590.31,2590.31
100021,-30,-16,688.95,688.95
100021,-60,-65,1277.43,1277.43
100021,-90,-79,1982.94,1982.94
100021,-120,-120,2256.22,2256.22
100021,-150,-154,2121.12,2121.12
100021,-180,-180,2915.67,1457.84
100021,-210,-209,2719.29,2719.29
100021,-240,-233,2332.31,1166.15
100021,-270,-271,2743.15,2743.15
100021,-300,-299,1735.8,1735.8
100021,-330,-330,512.31,512.31
100021,-360,-353,1804.27,1804.27
100021,-390,-395,2546.1,2546.1
100021,-420,-414,1229.8,1229.8
100021,-450,-447,2734.69,2734.69
100021,-480,-485,881.79,440.89
100021,-510,-511,2012.97,2012.97
100021,-540,-536,2465.65,1232.82
100022,-30,-16,2375.58,2375.58
100022,-60,-60,2441.6,2441.6
100022,-90,-81,759.17,759.17
100022,-120,-124,2677.28,2677.28
100022,-150,-155,851.77,851.77
100022,-180,-182,2881.67,2881.67
100022,-210,-212,1660.79,1660.79
100022,-240,-243,2835.24,2835.24
100023,-30,-32,879.54,879.54
100023,-60,-61,733.23,733.23
100023,-90,-89,606.14,606.14
100023,-120,-120,797.11,398.55
100023,-150,-149,1103.76,1103.76
100023,-180,-180,528.44,528.44
100023,-210,-210,998.51,998.51
100023,-240,-241,566.83,566.83
100023,-270,-275,1431.46,1431.46
100023,-300,-304,2073.91,2073.91
100024,-30,-29,1224.03,1224.03
100024,-60,-46,2757.88,2757.88
100024,-90,-92,2080.78,2080.78
100024,-120,-106,2403.77,2403.77
100024,-150,-152,2481.27,2481.27
100024,-180,-181,2699.46,2699.46
100024,-210,-212,2626.49,2626.49
100024,-240,-231,2588.55,2588.55
100024,-270,-274,2556.19,2556.19
100024,-300,-304,767.27,767.27
100024,-330,-329,2107.47,2107.47
100024,-360,-353,1014.83,1014.83
100024,-390,-383,2008.08,2008.08
100024,-420,-408,2400.24,2400.24
100025,-30,-31,1989.95,1989.95
100025,-60,-65,1761.2,880.6
100025,-90,-92,1128.33,1128.33
100025,-120,-125,2874.07,2874.07
100025,-150,-150,799.38,799.38
100025,-180,-182,801.92,801.92
100025,-210,-210,1382.67,691.34
100025,-240,-240,954.33,954.33
100025,-270,-271,2842.74,2842.74
100025,-300,-302,1137.12,1137.12
100025,-330,-335,867.62,867.62
100025,-360,-362,1278.98,1278.98
100025,-390,-392,1293.91,1293.91
100025,-420,-424,1841.56,1841.56
100025,-450,-449,1285.61,1285.61
100025,-480,-481,1045.58,1045.58
100025,-510,-512,2597.9,2597.9
100025,-540,-545,738.4,738.4
100025,-570,-572,2385.77,2385.77
100025,-600,-601,2962.98,2962.98
100026,-30,-35,631.53,631.53
100026,-60,-50,1554.86,1554.86
100026,-90,-89,679.33,679.33
100026,-120,-112,1938.8,1938.8
100026,-150,-148,1123.92,1123.92
100026,-180,-173,1203.01,1203.01
100027,-30,-35,2939.32,2939.32
100027,-60,-55,536.75,536.75
100027,-90,-95,1101.8,1101.8
100027,-120,-122,2897.5,2897.5
100027,-150,-147,1511.79,1511.79
100027,-180,-167,1722.59,1722.59
100027,-210,-196,2536.51,2536.51
100027,-240,-238,1089.22,1089.22
100027,-270,-269,521.34,521.34
100028,-30,-19,1922.85,1922.85
100028,-60,-53,640.2,640.2
100028,-90,-93,1781.33,1781.33
100028,-120,-122,1011.48,1011.48
100028,-150,-152,1092.25,1092.25
100028,-180,-179,1369.69,1369.69
100028,-210,-206,2997.32,2997.32
100028,-240,-235,1739.29,1739.29
100028,-270,-273,1400.07,1400.07
100028,-300,-299,914.66,914.66
100028,-330,-317,715.61,715.61
100028,-360,-348,1574.89,1574.89
100028,-390,-378,1819.35,1819.35
100028,-420,-422,876.74,876.74
100028,-450,-451,2083.78,2083.78
100028,-480,-478,2668.34,2668.34
100029,-30,-31,2666.87,2666.87
100029,-60,-63,1498.26,1498.26
100029,-90,-89,2115.39,2115.39
100029,-120,-125,1819.55,1819.55
100029,-150,-151,2575.7,2575.7
100029,-180,-180,1784.97,1784.97
100029,-210,-209,1011.76,1011.76
100029,-240,-241,2894.97,1447.48
100029,-270,-269,1454.21,1454.21
100030,-30,-31,1441.23,1441.23
100030,-60,-60,1720.87,1720.87
100030,-90,-90,852.14,852.14
100030,-120,-123,1655.9,1655.9
100030,-150,-154,587.93,587.93
100030,-180,-181,2755.96,2755.96
100030,-210,-209,2886.25,2886.25
100031,-30,-32,1235.8,1235.8
100031,-60,-59,2166.96,2166.96
100031,-90,-92,1770.72,1770.72
100031,-120,-119,1584.4,1584.4
100031,-150,-151,2507.57,1253.79
100031,-180,-185,2658.7,2658.7
100031,-210,-213,2185.93,1092.96
100031,-240,-240,846.44,846.44
100031,-270,-275,2560.02,2560.02
100031,-300,-300,1019.12,1019.12
100031,-330,-332,1984.93,992.47
100031,-360,-365,1919.56,1919.56
100031,-390,-393,2718.18,2718.18
100031,-420,-421,2327.01,2327.01
100031,-450,-449,1948.05,974.02
100031,-480,-480,2636.0,1318.0
100031,-510,-512,2593.05,2593.05
100031,-540,-540,667.96,667.96
100032,-30,-25,749.24,749.24
100032,-60,-61,2397.01,2397.01
100032,-90,-94,958.18,958.18
100032,-120,-119,2429.34,2429.34
100032,-150,-150,1769.17,1769.17
100032,-180,-171,1097.05,1097.05
100032,-210,-214,802.0,802.0
100032,-240,-233,2844.74,1422.37
100032,-270,-265,1438.6,1438.6
100032,-300,-290,2189.85,2189.85
100033,-30,-30,863.75,863.75
100033,-60,-49,2732.85,2732.85
100033,-90,-85,2351.12,1175.56
100033,-120,-107,2260.11,2260.11
100033,-150,-146,1122.65,1122.65
100033,-180,-172,2732.0,1366.0
100033,-210,-209,2477.41,1238.71
100033,-240,-244,1304.76,652.38
100033,-270,-275,981.47,981.47
100033,-300,-287,1893.73,1893.73
100033,-330,-323,2736.3,2736.3
100033,-360,-356,753.0,753.0
100033,-390,-376,1183.69,591.85
100033,-420,-421,2794.18,2794.18
100033,-450,-452,2329.54,1164.77
100034,-30,-22,1229.94,614.97
100034,-60,-54,1585.62,1585.62
100034,-90,-95,2613.97,2613.97
100034,-120,-119,2534.66,2534.66
100034,-150,-155,2846.78,2846.78
100034,-180,-168,2990.6,2990.6
100034,-210,-206,1697.71,1697.71
100034,-240,-244,2855.83,2855.83
100034,-270,-269,1246.05,623.02
100034,-300,-294,2179.48,2179.48
100034,-330,-332,2032.01,2032.01
100034,-360,-362,1269.3,1269.3
100034,-390,-386,1788.06,894.03
100034,-420,-406,2845.56,2845.56
100034,-450,-436,2426.15,1213.07
100034,-480,-485,874.03,874.03
100034,-510,-509,758.22,758.22
100034,-540,-532,1201.55,1201.55
100034,-570,-572,2619.85,1309.93
100034,-600,-588,2191.77,2191.77
100035,-30,-17,1232.44,1232.44
100035,-60,-57,1994.79,1994.79
100035,-90,-84,2239.81,2239.81
100035,-120,-117,1362.78,1362.78
100035,-150,-144,2128.64,2128.64
100036,-30,-30,2686.63,2686.63
100036,-60,-65,1724.08,862.04
100036,-90,-90,1762.42,1762.42
100036,-120,-120,636.99,636.99
100036,-150,-152,1898.51,1898.51
100036,-180,-181,1571.43,1571.43
100036,-210,-213,513.78,513.78
100036,-240,-244,1421.3,1421.3
100036,-270,-269,1581.85,1581.85
100036,-300,-299,1040.84,1040.84
100036,-330,-332,2256.22,2256.22
100036,-360,-361,1957.42,978.71
100036,-390,-390,2367.4,2367.4
100036,-420,-425,689.0,689.0
100037,-30,-17,2082.2,2082.2
100037,-60,-61,2165.48,2165.48
100037,-90,-91,992.28,496.14
100037,-120,-122,2043.76,1021.88
100037,-150,-150,1205.56,1205.56
100037,-180,-182,2504.98,2504.98
100037,-210,-211,1967.11,1967.11
100037,-240,-238,2210.36,2210.36
100037,-270,-273,1762.0,1762.0
100037,-300,-286,545.36,545.36
100038,-30,-34,580.41,580.41
100038,-60,-64,2833.51,2833.51
100038,-90,-77,1484.84,1484.84
100038,-120,-109,2329.24,2329.24
100038,-150,-139,2026.34,2026.34
100038,-180,-181,1233.54,1233.54
100038,-210,-206,2432.56,2432.56
100038,-240,-239,1493.98,1493.98
100038,-270,-269,2728.21,2728.21
100039,-30,-35,793.95,793.95
100039,-60,-60,1065.14,1065.14
100039,-90,-81,1007.64,1007.64
100039,-120,-124,1768.26,1768.26
100039,-150,-142,1788.11,1788.11
100039,-180,-181,2947.21,2947.21
100039,-210,-203,2956.31,2956.31
100039,-240,-237,1679.33,1679.33
100039,-270,-257,583.36,583.36
100039,-300,-299,1272.43,1272.43
100039,-330,-324,1019.41,1019.41
100039,-360,-357,2563.13,2563.13
100039,-390,-388,2987.23,2987.23
100039,-420,-425,2313.33,2313.33
100039,-450,-445,2081.43,2081.43
100039,-480,-485,1397.59,1397.59
100040,-30,-33,2249.76,2249.76
100040,-60,-62,1446.91,1446.91
100040,-90,-91,2770.02,2770.02
100040,-120,-125,1077.48,1077.48
100040,-150,-149,1292.45,1292.45
100041,-30,-21,1018.57,1018.57
100041,-60,-59,1539.83,1539.83
100041,-90,-87,2617.82,2617.82
100041,-120,-110,2463.94,2463.94
100041,-150,-137,1976.05,1976.05
100041,-180,-172,2757.66,2757.66
100041,-210,-212,1218.42,1218.42
100041,-240,-241,1542.87,1542.87
100041,-270,-269,2424.5,2424.5
100041,-300,-293,743.65,743.65
100041,-330,-327,2747.32,2747.32
100041,-360,-348,1460.91,1460.91
100041,-390,-395,2055.82,2055.82
100041,-420,-420,1202.55,1202.55
100041,-450,-450,1925.15,1925.15
100041,-480,-479,1378.56,1378.56
100041,-510,-513,1719.27,1719.27
100041,-540,-531,1671.93,1671.93
100042,-30,-27,1100.63,1100.63
100042,-60,-62,1138.0,1138.0
100042,-90,-94,1166.44,1166.44
100042,-120,-120,2652.7,2652.7
100042,-150,-143,1603.28,1603.28
100042,-180,-185,1803.83,1803.83
100042,-210,-197,2883.6,2883.6
100042,-240,-239,1642.89,1642.89
100042,-270,-269,2754.69,2754.69
100042,-300,-290,2851.58,1425.79
100042,-330,-321,1086.19,1086.19
100042,-360,-363,844.35,844.35
100042,-390,-389,1395.41,1395.41
100042,-420,-425,2448.76,2448.76
100042,-450,-455,1338.76,1338.76
100042,-480,-470,865.15,865.15
100042,-510,-501,1281.06,640.53
100042,-540,-538,2410.69,2410.69
100042,-570,-574,2969.9,1484.95
100042,-600,-587,1964.62,1964.62
100042,-630,-626,2697.21,2697.21
100043,-30,-35,1214.88,1214.88
100043,-60,-50,936.82,936.82
100043,-90,-94,2776.81,1388.4
100043,-120,-121,601.0,601.0
100043,-150,-144,1383.37,1383.37
100043,-180,-169,1880.41,1880.41
100043,-210,-213,1750.06,1750.06
100043,-240,-235,1188.34,1188.34
100044,-30,-29,2216.96,1108.48
100044,-60,-63,1090.83,1090.83
100044,-90,-93,1445.56,722.78
100044,-120,-121,2886.34,2886.34
100044,-150,-136,1846.88,1846.88
100044,-180,-185,1396.14,1396.14
100044,-210,-211,2484.93,2484.93
100044,-240,-242,1753.11,1753.11
100044,-270,-275,2274.25,2274.25
100044,-300,-291,1029.74,514.87
100044,-330,-334,862.66,862.66
100044,-360,-365,2046.2,1023.1
100044,-390,-395,2825.55,2825.55
100044,-420,-425,1573.68,1573.68
100044,-450,-449,551.99,551.99
100045,-30,-34,536.22,268.11
100045,-60,-63,2215.54,2215.54
100045,-90,-86,1861.08,1861.08
100045,-120,-119,1030.52,1030.52
100045,-150,-150,677.77,338.88
100045,-180,-171,665.41,665.41
100045,-210,-214,1607.7,1607.7
100045,-240,-243,1424.94,1424.94
100045,-270,-258,2644.13,2644.13
100045,-300,-292,2426.45,1213.23
100045,-330,-317,2373.03,2373.03
100045,-360,-361,924.7,924.7
100045,-390,-392,938.74,938.74
100045,-420,-423,2125.01,1062.51
100045,-450,-449,2605.16,2605.16
100045,-480,-485,2870.19,2870.19
100045,-510,-513,2904.94,2904.94
100045,-540,-537,889.82,889.82
100045,-570,-556,642.14,642.14
100045,-600,-599,687.77,687.77
100045,-630,-629,1575.55,1575.55
100046,-30,-30,2372.16,2372.16
100046,-60,-61,2067.1,1033.55
100046,-90,-93,1798.47,1798.47
100046,-120,-122,2382.21,2382.21
100046,-150,-151,808.82,808.82
100046,-180,-180,648.82,648.82
100046,-210,-211,2139.58,2139.58
100046,-240,-243,1886.74,1886.74
100046,-270,-272,563.77,563.77
100046,-300,-299,799.61,799.61
100046,-330,-333,981.44,981.44
100046,-360,-361,1538.86,1538.86
100046,-390,-392,2366.08,2366.08
100046,-420,-420,1228.29,1228.29
100046,-450,-453,2504.82,2504.82
100046,-480,-482,1123.23,1123.23
100046,-510,-509,1878.18,1878.18
100047,-30,-35,2259.78,2259.78
100047,-60,-59,860.83,860.83
100047,-90,-92,1892.99,1892.99
100047,-120,-124,1497.56,1497.56
100047,-150,-153,1279.87,1279.87
100047,-180,-184,529.07,529.07
100047,-210,-212,911.62,911.62
100047,-240,-240,2847.65,2847.65
100048,-30,-33,1071.27,1071.27
100048,-60,-62,641.84,641.84
100048,-90,-94,1990.44,1990.44
100048,-120,-125,1881.04,1881.04
100048,-150,-151,691.07,691.07
100048,-180,-179,1576.14,1576.14
100048,-210,-214,2189.2,2189.2
100048,-240,-244,789.56,394.78
100048,-270,-273,2401.48,2401.48
100048,-300,-299,684.72,684.72
100048,-330,-329,1529.68,1529.68
100048,-360,-365,1866.14,1866.14
100048,-390,-394,893.85,893.85
100048,-420,-423,2190.01,2190.01
100048,-450,-450,756.31,378.15
100048,-480,-482,1756.87,1756.87
100048,-510,-513,1583.87,1583.87
100048,-540,-540,2395.76,2395.76
100048,-570,-569,968.52,968.52
100048,-600,-603,2424.35,2424.35
100048,-630,-632,991.02,991.02
100048,-660,-659,1596.56,1596.56
100049,-30,-33,565.2,565.2
100049,-60,-60,1026.49,1026.49
100049,-90,-94,1743.42,871.71
100049,-120,-121,2970.73,2970.73
100049,-150,-154,2396.73,2396.73
100049,-180,-178,929.02,929.02
100049,-210,-209,1157.98,1157.98
100049,-240,-238,2557.14,2557.14
100049,-270,-265,2225.81,2225.81
100049,-300,-299,1452.99,1452.99
100049,-330,-333,1827.72,1827.72
100049,-360,-353,2377.19,2377.19
100049,-390,-390,2108.73,1054.36
100049,-420,-416,2478.98,2478.98
100049,-450,-450,2634.9,2634.9
100049,-480,-479,2226.65,2226.65
100050,-30,-21,586.81,293.4
100050,-60,-62,1582.57,1582.57
100050,-90,-82,2886.83,2886.83
100050,-120,-120,1604.79,1604.79
100050,-150,-153,2153.58,2153.58
100050,-180,-181,1132.88,1132.88
100050,-210,-202,969.85,969.85
100050,-240,-239,1937.08,1937.08
100051,-30,-33,743.04,743.04
100051,-60,-61,2833.89,2833.89
100051,-90,-95,2916.79,2916.79
100051,-120,-119,702.02,351.01
100051,-150,-153,2208.89,2208.89
100051,-180,-184,1266.01,1266.01
100051,-210,-215,1378.47,1378.47
100051,-240,-244,2775.82,2775.82
100051,-270,-274,2818.29,2818.29
100051,-300,-304,634.06,634.06
100051,-330,-333,2581.0,2581.0
100051,-360,-362,1976.75,1976.75
100051,-390,-395,1344.71,1344.71
100051,-420,-419,635.96,635.96
100051,-450,-450,1064.99,1064.99
100051,-480,-483,1280.21,640.11
100051,-510,-512,1182.22,1182.22
100051,-540,-539,603.51,301.75
100052,-30,-35,2942.54,2942.54
100052,-60,-61,2308.68,2308.68
100052,-90,-90,1737.63,868.81
100052,-120,-121,1618.49,1618.49
100052,-150,-154,1846.14,1846.14
100052,-180,-184,1383.19,1383.19
100052,-210,-199,1530.62,1530.62
100052,-240,-244,2532.98,1266.49
100052,-270,-262,2821.72,2821.72
100052,-300,-304,1282.03,1282.03
100052,-330,-331,1683.1,1683.1
100052,-360,-359,2793.15,2793.15
100052,-390,-391,2160.37,1080.19
100052,-420,-423,2909.09,1454.55
100052,-450,-452,2346.51,2346.51
100052,-480,-479,638.4,319.2
100053,-30,-31,1118.25,559.13
100053,-60,-64,2542.67,2542.67
100053,-90,-89,2920.17,2920.17
100053,-120,-110,2126.78,2126.78
100053,-150,-138,2932.87,2932.87
100053,-180,-170,2095.29,2095.29
100053,-210,-212,1833.95,1833.95
100053,-240,-245,2208.3,2208.3
100054,-30,-35,2309.56,1154.78
100054,-60,-62,656.65,656.65
100054,-90,-78,644.13,644.13
100054,-120,-120,2659.09,2659.09
100054,-150,-153,1403.43,1403.43
100054,-180,-184,2621.4,1310.7
100054,-210,-196,1388.44,694.22
100054,-240,-243,2250.94,2250.94
100054,-270,-256,1645.74,1645.74
